"","dst","lambda","cr","ol"
"1",1,10,0.263982102908277,0.56915283203125
"2",2,10,0.666225165562914,0.56915283203125
"3",3,10,0.640860215053763,0.56915283203125
"4",4,10,0.460767946577629,0.56915283203125
"5",5,10,0.313496280552604,0.56915283203125
"6",6,10,0.642378559463987,0.56915283203125
"7",7,10,0.930921052631579,0.56915283203125
"8",8,10,0.612975391498881,0.56915283203125
"9",9,10,0.772629310344828,0.56915283203125
"10",10,10,0.222343921139102,0.56915283203125
"11",1,10,0.234411085450346,0.56915283203125
"12",2,10,0.654211956521739,0.56915283203125
"13",3,10,0.630434782608696,0.56915283203125
"14",4,10,0.470684039087948,0.56915283203125
"15",5,10,0.323809523809524,0.56915283203125
"16",6,10,0.660596026490066,0.56915283203125
"17",7,10,0.954716981132075,0.56915283203125
"18",8,10,0.644273127753304,0.56915283203125
"19",9,10,0.767332549941246,0.56915283203125
"20",10,10,0.250288350634371,0.56915283203125
"21",1,10,0.233475479744136,0.56915283203125
"22",2,10,0.66645202833226,0.56915283203125
"23",3,10,0.632630410654828,0.56915283203125
"24",4,10,0.448494453248811,0.56915283203125
"25",5,10,0.317124735729387,0.56915283203125
"26",6,10,0.656274980015987,0.56915283203125
"27",7,10,0.951456310679612,0.56915283203125
"28",8,10,0.666315789473684,0.56915283203125
"29",9,10,0.780645161290323,0.56915283203125
"30",10,10,0.23961661341853,0.56915283203125
"31",1,10,0.28076062639821,0.56915283203125
"32",2,10,0.687801516195727,0.56915283203125
"33",3,10,0.629946524064171,0.56915283203125
"34",4,10,0.4512,0.56915283203125
"35",5,10,0.368544600938967,0.56915283203125
"36",6,10,0.665865384615385,0.56915283203125
"37",7,10,0.929032258064516,0.56915283203125
"38",8,10,0.640641711229947,0.56915283203125
"39",9,10,0.777777777777778,0.56915283203125
"40",10,10,0.230337078651685,0.56915283203125
"41",1,10,0.243186582809224,0.56915283203125
"42",2,10,0.646616541353383,0.56915283203125
"43",3,10,0.608743169398907,0.56915283203125
"44",4,10,0.465460526315789,0.56915283203125
"45",5,10,0.307529162248144,0.56915283203125
"46",6,10,0.643270024772915,0.56915283203125
"47",7,10,0.941379310344828,0.56915283203125
"48",8,10,0.649888143176734,0.56915283203125
"49",9,10,0.774444444444444,0.56915283203125
"50",10,10,0.246632124352332,0.56915283203125
"51",1,10,0.232832618025751,0.56915283203125
"52",2,10,0.674714104193138,0.56915283203125
"53",3,10,0.672018348623853,0.56915283203125
"54",4,10,0.445054945054945,0.56915283203125
"55",5,10,0.331479421579533,0.56915283203125
"56",6,10,0.652789342214821,0.56915283203125
"57",7,10,0.938983050847458,0.56915283203125
"58",8,10,0.652123995407577,0.56915283203125
"59",9,10,0.753950338600451,0.56915283203125
"60",10,10,0.242553191489362,0.56915283203125
"61",1,10,0.251605995717345,0.56915283203125
"62",2,10,0.644859813084112,0.56915283203125
"63",3,10,0.626262626262626,0.56915283203125
"64",4,10,0.471518987341772,0.56915283203125
"65",5,10,0.311111111111111,0.56915283203125
"66",6,10,0.645017793594306,0.56915283203125
"67",7,10,0.931818181818182,0.56915283203125
"68",8,10,0.601104972375691,0.56915283203125
"69",9,10,0.76972972972973,0.56915283203125
"70",10,10,0.244372990353698,0.56915283203125
"71",1,10,0.234213547646383,0.56915283203125
"72",2,10,0.682744565217391,0.56915283203125
"73",3,10,0.641402714932127,0.56915283203125
"74",4,10,0.461928934010152,0.56915283203125
"75",5,10,0.321184510250569,0.56915283203125
"76",6,10,0.656405990016639,0.56915283203125
"77",7,10,0.967741935483871,0.56915283203125
"78",8,10,0.60287610619469,0.56915283203125
"79",9,10,0.785242290748899,0.56915283203125
"80",10,10,0.238958097395243,0.56915283203125
"81",1,10,0.259171597633136,0.56915283203125
"82",2,10,0.673239436619718,0.56915283203125
"83",3,10,0.586980920314254,0.56915283203125
"84",4,10,0.48448275862069,0.56915283203125
"85",5,10,0.338785046728972,0.56915283203125
