"","dst","lambda","tr","ol"
"1",1,10,0.126862950370967,0.56915283203125
"2",2,10,0.0995189122655194,0.56915283203125
"3",3,10,0.0624908134204031,0.56915283203125
"4",4,10,0.0621772594987096,0.56915283203125
"5",5,10,0.12487609166035,0.56915283203125
"6",6,10,0.081884365063705,0.56915283203125
"7",7,10,0.00378044817509802,0.56915283203125
"8",8,10,0.0668375913470109,0.56915283203125
"9",9,10,0.0410585255319943,0.56915283203125
"10",10,10,0.137201583531105,0.56915283203125
"11",1,10,0.125679385694539,0.56915283203125
"12",2,10,0.0975467113188552,0.56915283203125
"13",3,10,0.0649184850651189,0.56915283203125
"14",4,10,0.0620232560724936,0.56915283203125
"15",5,10,0.113192137169825,0.56915283203125
"16",6,10,0.0798816184797937,0.56915283203125
"17",7,10,0.00189378746667374,0.56915283203125
"18",8,10,0.0609951128298775,0.56915283203125
"19",9,10,0.0373495983641519,0.56915283203125
"20",10,10,0.125643020499462,0.56915283203125
"21",1,10,0.142403418254635,0.56915283203125
"22",2,10,0.100166284185738,0.56915283203125
"23",3,10,0.0647153266187779,0.56915283203125
"24",4,10,0.0671543630773577,0.56915283203125
"25",5,10,0.12662367622898,0.56915283203125
"26",6,10,0.0828534989147971,0.56915283203125
"27",7,10,0.00357565999588715,0.56915283203125
"28",8,10,0.0602618982893818,0.56915283203125
"29",9,10,0.0388402316449847,0.56915283203125
"30",10,10,0.143532159167858,0.56915283203125
"31",1,10,0.125419199286424,0.56915283203125
"32",2,10,0.0892759380501801,0.56915283203125
"33",3,10,0.0687859490894533,0.56915283203125
"34",4,10,0.0646760496021154,0.56915283203125
"35",5,10,0.0998554769755403,0.56915283203125
"36",6,10,0.0796823579338298,0.56915283203125
"37",7,10,0.00458571298531513,0.56915283203125
"38",8,10,0.0647846398552614,0.56915283203125
"39",9,10,0.0407320259382747,0.56915283203125
"40",10,10,0.129232827942579,0.56915283203125
"41",1,10,0.141060567095657,0.56915283203125
"42",2,10,0.107951446410154,0.56915283203125
"43",3,10,0.0721517965041469,0.56915283203125
"44",4,10,0.0643698055901461,0.56915283203125
"45",5,10,0.127755389047182,0.56915283203125
"46",6,10,0.0822968358565679,0.56915283203125
"47",7,10,0.00289901853828987,0.56915283203125
"48",8,10,0.0618191167657184,0.56915283203125
"49",9,10,0.0383790695754464,0.56915283203125
"50",10,10,0.141490512749774,0.56915283203125
"51",1,10,0.138209174120894,0.56915283203125
"52",2,10,0.0993300408909431,0.56915283203125
"53",3,10,0.0542990221560282,0.56915283203125
"54",4,10,0.0593694837933961,0.56915283203125
"55",5,10,0.120473873546963,0.56915283203125
"56",6,10,0.0795559778974529,0.56915283203125
"57",7,10,0.00362059592069009,0.56915283203125
"58",8,10,0.0597318230859716,0.56915283203125
"59",9,10,0.0418421786870622,0.56915283203125
"60",10,10,0.138896983093819,0.56915283203125
"61",1,10,0.13992780946843,0.56915283203125
"62",2,10,0.106570533462989,0.56915283203125
"63",3,10,0.0643757196235401,0.56915283203125
"64",4,10,0.0628406463937656,0.56915283203125
"65",5,10,0.133535356813624,0.56915283203125
"66",6,10,0.077540389696404,0.56915283203125
"67",7,10,0.00382967598605459,0.56915283203125
"68",8,10,0.0688398620413744,0.56915283203125
"69",9,10,0.0399055491420898,0.56915283203125
"70",10,10,0.140393237367704,0.56915283203125
"71",1,10,0.126008584593531,0.56915283203125
"72",2,10,0.0869775197764353,0.56915283203125
"73",3,10,0.059108350648399,0.56915283203125
"74",4,10,0.059558820489442,0.56915283203125
"75",5,10,0.115274292256122,0.56915283203125
"76",6,10,0.0794216694646597,0.56915283203125
"77",7,10,0.00198303277458587,0.56915283203125
"78",8,10,0.0674436941763732,0.56915283203125
"79",9,10,0.038567129154521,0.56915283203125
"80",10,10,0.12675962173404,0.56915283203125
"81",1,10,0.118646551021188,0.56915283203125
"82",2,10,0.0869281597335817,0.56915283203125
"83",3,10,0.0691418894045686,0.56915283203125
"84",4,10,0.0572096564377881,0.56915283203125
"85",5,10,0.107856203522346,0.56915283203125
"86",6,10,0.0777519040680103,0.56915283203125
"87",7,10,0.00232824677760758,0.56915283203125
"88",8,10,0.0658511854119408,0.56915283203125
"89",9,10,0.0382565941694675,0.56915283203125
"90",10,10,0.125082586540906,0.56915283203125
"91",1,10,0.124331720897607,0.56915283203125
"92",2,10,0.0914258067371697,0.56915283203125
"93",3,10,0.0672182463303251,0.56915283203125
"94",4,10,0.0605062008364228,0.56915283203125
"95",5,10,0.113463668275181,0.56915283203125
