"","dst","lambda","tr","ol"
"1",1,10,0.172653311942459,0.56915283203125
"2",2,10,0.264131816766148,0.56915283203125
"3",3,10,0.166608065665837,0.56915283203125
"4",4,10,0.11717010214183,0.56915283203125
"5",5,10,0.164941051684798,0.56915283203125
"6",6,10,0.207366875391998,0.56915283203125
"7",7,10,0.054065167091511,0.56915283203125
"8",8,10,0.171945307835181,0.56915283203125
"9",9,10,0.162310704529058,0.56915283203125
"10",10,10,0.167150004154562,0.56915283203125
"11",1,10,0.178395222670078,0.56915283203125
"12",2,10,0.270488151055895,0.56915283203125
"13",3,10,0.168378537057013,0.56915283203125
"14",4,10,0.114963758642693,0.56915283203125
"15",5,10,0.171271946700537,0.56915283203125
"16",6,10,0.226231724990431,0.56915283203125
"17",7,10,0.0622058912865797,0.56915283203125
"18",8,10,0.169935490018044,0.56915283203125
"19",9,10,0.174517336562628,0.56915283203125
"20",10,10,0.178600714011553,0.56915283203125
"21",1,10,0.182553065594174,0.56915283203125
"22",2,10,0.276056927964012,0.56915283203125
"23",3,10,0.171490268011868,0.56915283203125
"24",4,10,0.112119471868644,0.56915283203125
"25",5,10,0.188406685492839,0.56915283203125
"26",6,10,0.234086834279913,0.56915283203125
"27",7,10,0.0663882252964736,0.56915283203125
"28",8,10,0.168048158508353,0.56915283203125
"29",9,10,0.171642290277976,0.56915283203125
"30",10,10,0.179598545900685,0.56915283203125
"31",1,10,0.181007074039255,0.56915283203125
"32",2,10,0.285516509957522,0.56915283203125
"33",3,10,0.175890025494168,0.56915283203125
"34",4,10,0.110567813906502,0.56915283203125
"35",5,10,0.180226955527213,0.56915283203125
"36",6,10,0.226804455097052,0.56915283203125
"37",7,10,0.0614259417180386,0.56915283203125
"38",8,10,0.165860366240917,0.56915283203125
"39",9,10,0.167825664800099,0.56915283203125
"40",10,10,0.18227870789803,0.56915283203125
"41",1,10,0.17179242116862,0.56915283203125
"42",2,10,0.276270774744718,0.56915283203125
"43",3,10,0.16897110791734,0.56915283203125
"44",4,10,0.109950353562965,0.56915283203125
"45",5,10,0.167784859488568,0.56915283203125
"46",6,10,0.22330052309435,0.56915283203125
"47",7,10,0.050446962656006,0.56915283203125
"48",8,10,0.159040949848325,0.56915283203125
"49",9,10,0.155046356800614,0.56915283203125
"50",10,10,0.164135588062781,0.56915283203125
"51",1,10,0.187584624309992,0.56915283203125
"52",2,10,0.279474252579048,0.56915283203125
"53",3,10,0.159303285593048,0.56915283203125
"54",4,10,0.10842946646627,0.56915283203125
"55",5,10,0.171586013181142,0.56915283203125
"56",6,10,0.223557031005457,0.56915283203125
"57",7,10,0.0580859430955303,0.56915283203125
"58",8,10,0.165692002105516,0.56915283203125
"59",9,10,0.159764434443218,0.56915283203125
"60",10,10,0.18050418452227,0.56915283203125
"61",1,10,0.177436087248187,0.56915283203125
"62",2,10,0.284241179701093,0.56915283203125
"63",3,10,0.165248895995003,0.56915283203125
"64",4,10,0.122841619784305,0.56915283203125
"65",5,10,0.174548068191882,0.56915283203125
"66",6,10,0.221380301146654,0.56915283203125
"67",7,10,0.0555957016432751,0.56915283203125
"68",8,10,0.179974259115349,0.56915283203125
"69",9,10,0.165604590920593,0.56915283203125
"70",10,10,0.176453413275776,0.56915283203125
"71",1,10,0.167698031108939,0.56915283203125
"72",2,10,0.275183513492797,0.56915283203125
"73",3,10,0.172394408204329,0.56915283203125
"74",4,10,0.116420970454028,0.56915283203125
"75",5,10,0.173504294693741,0.56915283203125
"76",6,10,0.224158711314422,0.56915283203125
"77",7,10,0.0578002159021342,0.56915283203125
"78",8,10,0.17075891971295,0.56915283203125
"79",9,10,0.170863328810489,0.56915283203125
"80",10,10,0.169823302422837,0.56915283203125
"81",1,10,0.169731210850258,0.56915283203125
"82",2,10,0.268099376342652,0.56915283203125
"83",3,10,0.176310959162158,0.56915283203125
"84",4,10,0.120877348920472,0.56915283203125
"85",5,10,0.171108042194154,0.56915283203125
"86",6,10,0.225899012464281,0.56915283203125
"87",7,10,0.0587012323210596,0.56915283203125
"88",8,10,0.178142750106023,0.56915283203125
"89",9,10,0.169875658615927,0.56915283203125
"90",10,10,0.174873856479418,0.56915283203125
"91",1,10,0.17058719464252,0.56915283203125
"92",2,10,0.281519148929186,0.56915283203125
"93",3,10,0.183848575955979,0.56915283203125
"94",4,10,0.127961816472614,0.56915283203125
"95",5,10,0.168669901817028,0.56915283203125
"96",6,10,0.230534058771194,0.56915283203125
"97",7,10,0.0560489704398257,0.56915283203125
"98",8,10,0.18645259573037,0.56915283203125
"99",9,10,0.181020562682151,0.56915283203125
"100",10,10,0.169024325129419,0.56915283203125
"101",1,10,0.177221952579831,0.56915283203125
"102",2,10,0.288056490727473,0.56915283203125
"103",3,10,0.17188913178186,0.56915283203125
"104",4,10,0.121545187815358,0.56915283203125
"105",5,10,0.174199037567134,0.56915283203125
"106",6,10,0.237127187545021,0.56915283203125
"107",7,10,0.05936437525523,0.56915283203125
"108",8,10,0.181339555439908,0.56915283203125
"109",9,10,0.167978515195364,0.56915283203125
"110",10,10,0.178153136528055,0.56915283203125
"111",1,10,0.180396089568779,0.56915283203125
"112",2,10,0.29151038024884,0.56915283203125
"113",3,10,0.161479210337553,0.56915283203125
"114",4,10,0.113803589492274,0.56915283203125
"115",5,10,0.178418207800772,0.56915283203125
"116",6,10,0.219869310897937,0.56915283203125
"117",7,10,0.0534996804645052,0.56915283203125
"118",8,10,0.170701443221905,0.56915283203125
"119",9,10,0.161487092370566,0.56915283203125
"120",10,10,0.17766280392717,0.56915283203125
"121",1,10,0.173916313939332,0.56915283203125
"122",2,10,0.267949595638159,0.56915283203125
"123",3,10,0.166591766083016,0.56915283203125
"124",4,10,0.122284201094788,0.56915283203125
"125",5,10,0.173957503079595,0.56915283203125
"126",6,10,0.220799471463816,0.56915283203125
"127",7,10,0.0604872694933832,0.56915283203125
"128",8,10,0.173819188929573,0.56915283203125
"129",9,10,0.163629453285392,0.56915283203125
"130",10,10,0.174316255406215,0.56915283203125
"131",1,10,0.179568706237792,0.56915283203125
"132",2,10,0.283834382026921,0.56915283203125
"133",3,10,0.173953354189586,0.56915283203125
"134",4,10,0.108161892028699,0.56915283203125
"135",5,10,0.17983289527864,0.56915283203125
"136",6,10,0.22454237710676,0.56915283203125
"137",7,10,0.0555880186275409,0.56915283203125
"138",8,10,0.166954760195073,0.56915283203125
"139",9,10,0.165324619732247,0.56915283203125
"140",10,10,0.166657515740067,0.56915283203125
"141",1,10,0.186173487011902,0.56915283203125
"142",2,10,0.277578583172926,0.56915283203125
"143",3,10,0.192516716724769,0.56915283203125
"144",4,10,0.12768215704816,0.56915283203125
"145",5,10,0.17981398739275,0.56915283203125
"146",6,10,0.237514701597954,0.56915283203125
"147",7,10,0.0604930368713687,0.56915283203125
"148",8,10,0.184565816897115,0.56915283203125
"149",9,10,0.189409164624333,0.56915283203125
"150",10,10,0.176545261533178,0.56915283203125
"151",1,10,0.161742580804128,0.56915283203125
"152",2,10,0.273325450117183,0.56915283203125
"153",3,10,0.169866246125096,0.56915283203125
"154",4,10,0.116478019024319,0.56915283203125
"155",5,10,0.167875184088587,0.56915283203125
"156",6,10,0.238087898110559,0.56915283203125
"157",7,10,0.0531566018274708,0.56915283203125
"158",8,10,0.17462130195536,0.56915283203125
"159",9,10,0.166212872302775,0.56915283203125
"160",10,10,0.168336654858127,0.56915283203125
"161",1,10,0.175790356343744,0.56915283203125
