"","dst","lambda","tr","ol"
"1",1,10,0.306448739132434,0.34149169921875
"2",2,10,0.311010844061534,0.34149169921875
"3",3,10,0.300197887998655,0.34149169921875
"4",4,10,0.305730653550968,0.34149169921875
"5",5,10,0.306387247019654,0.34149169921875
"6",6,10,0.2968313218738,0.34149169921875
"7",1,1010,5.0141989487707,34.4906616210938
"8",2,1010,5.00204254893491,34.4906616210938
"9",3,1010,5.01667748003154,34.4906616210938
"10",4,1010,5.00622344919433,34.4906616210938
"11",5,1010,5.00887771050865,34.4906616210938
"12",6,1010,5.02403093082235,34.4906616210938
"13",1,1060,5.02328511474145,36.1981201171875
"14",2,1060,5.02069340380381,36.1981201171875
"15",3,1060,5.0296165086678,36.1981201171875
"16",4,1060,5.01464175494971,36.1981201171875
"17",5,1060,5.00386826358957,36.1981201171875
"18",6,1060,5.01173418639412,36.1981201171875
"19",1,110,3.1239117861016,3.75640869140625
"20",2,110,3.14094443153505,3.75640869140625
"21",3,110,3.14906873001982,3.75640869140625
"22",4,110,3.12505441657465,3.75640869140625
"23",5,110,3.11849287443462,3.75640869140625
"24",6,110,3.11564532638059,3.75640869140625
"25",1,1110,5.00353792129805,37.9055786132812
"26",2,1110,5.04479285488091,37.9055786132812
"27",3,1110,5.04682098975364,37.9055786132812
"28",4,1110,5.01886884075478,37.9055786132812
"29",5,1110,5.02443979028731,37.9055786132812
"30",6,1110,5.0223951251617,37.9055786132812
"31",1,1160,5.00921463626943,39.613037109375
"32",2,1160,5.01880731489697,39.613037109375
"33",3,1160,5.0329259983372,39.613037109375
"34",4,1160,4.98821043390448,39.613037109375
"35",5,1160,4.991584147443,39.613037109375
"36",6,1160,4.9959924054316,39.613037109375
"37",1,1210,4.9872578850131,41.3204956054688
"38",2,1210,5.02470572210712,41.3204956054688
"39",3,1210,5.01630017028315,41.3204956054688
"40",4,1210,4.99183119490207,41.3204956054688
"41",5,1210,5.01670274769261,41.3204956054688
"42",6,1210,5.00682141778457,41.3204956054688
"43",1,1260,5.00337589894889,43.0279541015625
"44",2,1260,5.01365998721956,43.0279541015625
"45",3,1260,5.02130178272503,43.0279541015625
"46",4,1260,5.01338812860878,43.0279541015625
"47",5,1260,5.04699814344449,43.0279541015625
"48",6,1260,5.00621197680429,43.0279541015625
"49",1,1310,5.01479966543523,44.7354125976562
"50",2,1310,5.02361358833898,44.7354125976562
"51",3,1310,5.00245310351434,44.7354125976562
"52",4,1310,4.98366483499897,44.7354125976562
"53",5,1310,5.0076204559144,44.7354125976562
"54",6,1310,5.00417987760738,44.7354125976562
"55",1,1360,5.04755125350921,46.44287109375
"56",2,1360,5.01996033595822,46.44287109375
"57",3,1360,5.03040420473257,46.44287109375
"58",4,1360,5.00957572209474,46.44287109375
"59",5,1360,4.99979332123093,46.44287109375
"60",6,1360,5.02844065466057,46.44287109375
"61",1,1410,5.00975975416174,48.1503295898438
"62",2,1410,5.0264548716241,48.1503295898438
"63",3,1410,4.9971293159341,48.1503295898438
"64",4,1410,4.97097885379635,48.1503295898438
"65",5,1410,4.98790946478128,48.1503295898438
"66",6,1410,5.02197286531535,48.1503295898438
"67",1,1460,5.02374679547244,49.8577880859375
"68",2,1460,4.99917002580544,49.8577880859375
"69",3,1460,5.00595915497587,49.8577880859375
"70",4,1460,5.01261095534228,49.8577880859375
"71",5,1460,4.99501532085873,49.8577880859375
"72",6,1460,5.03008502840301,49.8577880859375
"73",1,160,4.13110225357253,5.4638671875
"74",2,160,4.17518664753918,5.4638671875
"75",3,160,4.1520224281144,5.4638671875
"76",4,160,4.15204150147866,5.4638671875
"77",5,160,4.12864051802555,5.4638671875
"78",6,160,4.11981590816191,5.4638671875
"79",1,210,4.64006551847196,7.17132568359375
"80",2,210,4.6328425096146,7.17132568359375
"81",3,210,4.62651849858523,7.17132568359375
"82",4,210,4.61002169770645,7.17132568359375
"83",5,210,4.61994729494235,7.17132568359375
"84",6,210,4.64395931076176,7.17132568359375
"85",1,260,4.81408037836686,8.8787841796875
"86",2,260,4.82931749153342,8.8787841796875
"87",3,260,4.83647751563616,8.8787841796875
"88",4,260,4.81904438030127,8.8787841796875
"89",5,260,4.8541756486664,8.8787841796875
"90",6,260,4.82685545440411,8.8787841796875
"91",1,310,4.88614633107693,10.5862426757812
"92",2,310,4.92425834605979,10.5862426757812
"93",3,310,4.89108422483574,10.5862426757812
"94",4,310,4.89166255046447,10.5862426757812
"95",5,310,4.90351415671983,10.5862426757812
"96",6,310,4.8897442082404,10.5862426757812
"97",1,360,4.93709176652071,12.293701171875
"98",2,360,4.95214198217717,12.293701171875
"99",3,360,4.9570280888586,12.293701171875
"100",4,360,4.95640400590455,12.293701171875
"101",5,360,4.95058279204216,12.293701171875
"102",6,360,4.95108429635569,12.293701171875
"103",1,410,4.95427629495537,14.0011596679688
"104",2,410,4.96975296848162,14.0011596679688
"105",3,410,4.96892619973465,14.0011596679688
"106",4,410,4.97241714239523,14.0011596679688
"107",5,410,4.94866464341109,14.0011596679688
"108",6,410,4.98091345647313,14.0011596679688
"109",1,460,4.97429469635999,15.7086181640625
"110",2,460,4.98587301378413,15.7086181640625
"111",3,460,4.98057315138914,15.7086181640625
"112",4,460,4.96394012835258,15.7086181640625
"113",5,460,4.97469116879156,15.7086181640625
"114",6,460,4.97360347630291,15.7086181640625
"115",1,510,4.98632864361974,17.4160766601562
"116",2,510,4.99819413112134,17.4160766601562
"117",3,510,5.00146103753293,17.4160766601562
"118",4,510,4.9673350135204,17.4160766601562
"119",5,510,4.9706029371845,17.4160766601562
"120",6,510,5.03771159339681,17.4160766601562
"121",1,560,5.02195348591205,19.12353515625
"122",2,560,5.02666105891913,19.12353515625
"123",3,560,5.01530957986647,19.12353515625
"124",4,560,4.99172415845098,19.12353515625
"125",5,560,5.00890320140927,19.12353515625
"126",6,560,5.00146024645286,19.12353515625
"127",1,60,1.75690407199118,2.0489501953125
"128",2,60,1.76924373130943,2.0489501953125
"129",3,60,1.7666022070248,2.0489501953125
"130",4,60,1.76800600158061,2.0489501953125
"131",5,60,1.76466181708626,2.0489501953125
"132",6,60,1.76886353695057,2.0489501953125
"133",1,610,4.97172517143996,20.8309936523438
"134",2,610,5.00644109108323,20.8309936523438
"135",3,610,4.99582576303045,20.8309936523438
"136",4,610,4.9759241528127,20.8309936523438
"137",5,610,4.98881050646409,20.8309936523438
"138",6,610,4.98254445946252,20.8309936523438
"139",1,660,5.01682925985569,22.5384521484375
"140",2,660,4.98488651189701,22.5384521484375
"141",3,660,5.00874769681127,22.5384521484375
"142",4,660,5.03288201404065,22.5384521484375
"143",5,660,4.98770582739548,22.5384521484375
"144",6,660,4.99199914186826,22.5384521484375
"145",1,710,5.01399484501683,24.2459106445312
"146",2,710,5.0408368065384,24.2459106445312
"147",3,710,4.9954989235837,24.2459106445312
"148",4,710,4.97057982174611,24.2459106445312
"149",5,710,4.98577221887096,24.2459106445312
"150",6,710,5.03602190078562,24.2459106445312
"151",1,760,5.02436386960943,25.953369140625
"152",2,760,5.01356371203119,25.953369140625
"153",3,760,5.02812388491023,25.953369140625
"154",4,760,5.00134220000478,25.953369140625
"155",5,760,5.02810608301161,25.953369140625
"156",6,760,5.01663199641429,25.953369140625
"157",1,810,4.99058148962075,27.6608276367188
"158",2,810,5.02053292074601,27.6608276367188
"159",3,810,5.0246080284298,27.6608276367188
"160",4,810,4.99209388761099,27.6608276367188
"161",5,810,5.01427275781888,27.6608276367188
"162",6,810,5.02137952792769,27.6608276367188
"163",1,860,5.000889220295,29.3682861328125
"164",2,860,5.01375650381442,29.3682861328125
"165",3,860,5.01961641263834,29.3682861328125
"166",4,860,5.0397062207042,29.3682861328125
"167",5,860,5.04013143412116,29.3682861328125
"168",6,860,5.04621361359484,29.3682861328125
"169",1,910,5.02823179821015,31.0757446289062
"170",2,910,4.99591521971627,31.0757446289062
"171",3,910,5.01080282373153,31.0757446289062
"172",4,910,5.0072223219049,31.0757446289062
"173",5,910,5.02947336436666,31.0757446289062
"174",6,910,5.03903179615542,31.0757446289062
"175",1,960,5.01158520920493,32.783203125
"176",2,960,5.02573832727535,32.783203125
"177",3,960,5.02076249653548,32.783203125
"178",4,960,4.98048435975526,32.783203125
"179",5,960,4.99745828507124,32.783203125
"180",6,960,5.0077774245955,32.783203125
